"log_id","log_date","log_time","year","month","machine_id","machine_name","machine_model","machine_type","manufacturer","factory_id","factory_name","assembly_line_id","assembly_line_name","temperature","humidity","pressure","vibration","rpm","power","status","health_score","maintenance_alert","efficiency","uptime","downtime","idletime","production_count","errorcode","error_code","last_maintenance_date","next_maintenance_date"
"LOG00000011","07-10-2024","07:38:10",2024,1,"MACH00012","Machine 12","MODEL-6174","Robot Arm","KUKA","FAC04","Factory 4","LINE012","Assembly Line 12","31.8","44.4","9.79","16.65",4861,"41.35","Idle","55.79","Yes","92",10,3,14,8554,"None","No errors","13-09-2024","27-09-2024"
"LOG00000012","28-08-2024","09:43:12",2024,4,"MACH00013","Machine 13","MODEL-2817","Welder","Bosch","FAC05","Factory 5","LINE013","Assembly Line 13","30.9","77.5","2.3","40.68",9946,"33.94","Maintenance","90.79","No","65.64",1,10,14,8495,"E001","Error condition E001","26-05-2024","21-12-2024"
"LOG00000013","02-11-2024","03:37:43",2024,10,"MACH00014","Machine 14","MODEL-8684","Drill","Mitsubishi","FAC06","Factory 6","LINE014","Assembly Line 14","60.8","46.1","0.58","46.7",4739,"44.07","Error","76.78","No","68.31",19,21,2,9849,"E002","Error condition E002","16-07-2024","28-12-2024"
"LOG00000014","23-09-2024","14:34:57",2024,1,"MACH00015","Machine 15","MODEL-7187","Lathe","Yaskawa","FAC07","Factory 7","LINE015","Assembly Line 15","37.7","63.3","4.6","33.53",9060,"48.13","Stopped","63","Yes","99.62",0,1,22,4696,"E003","Error condition E003","24-01-2024","22-02-2024"
"LOG00000015","04-01-2024","16:36:04",2024,7,"MACH00016","Machine 16","MODEL-3542","Compressor","Omron","FAC08","Factory 8","LINE016","Assembly Line 16","28.4","61.2","0.53","20.05",2187,"27.99","Running","74.72","No","72.93",12,17,24,5321,"E004","Error condition E004","20-11-2024","28-04-2024"
"LOG00000016","14-05-2024","04:26:03",2024,3,"MACH00017","Machine 17","MODEL-4017","CNC Machine","Siemens","FAC01","Factory 1","LINE017","Assembly Line 17","36.6","50.4","9.39","31.04",5910,"26.96","Idle","53.51","Yes","60.27",15,23,6,9659,"E005","Error condition E005","18-12-2024","17-08-2024"
"LOG00000017","20-03-2024","09:38:53",2024,10,"MACH00018","Machine 18","MODEL-4550","Hydraulic Press","ABB","FAC02","Factory 2","LINE018","Assembly Line 18","24.7","73.7","6.87","11.62",822,"37.36","Maintenance","78.06","No","60.5",8,19,17,2160,"None","No errors","18-02-2024","06-05-2024"
"LOG00000018","07-05-2024","20:46:01",2024,2,"MACH00019","Machine 19","MODEL-9592","Conveyor","Fanuc","FAC03","Factory 3","LINE019","Assembly Line 19","49.3","47.4","4.32","6.69",6253,"30.1","Error","69.18","Yes","98.05",16,10,15,1008,"E001","Error condition E001","01-05-2024","25-06-2024"
"LOG00000019","26-09-2024","14:11:35",2024,6,"MACH00020","Machine 20","MODEL-7901","Robot Arm","KUKA","FAC04","Factory 4","LINE020","Assembly Line 20","60.8","31.9","0.91","33.07",2803,"24.43","Stopped","72.58","No","99.67",14,12,5,1363,"E002","Error condition E002","17-12-2024","26-09-2024"
"LOG00000020","04-01-2024","06:42:39",2024,9,"MACH00021","Machine 21","MODEL-2132","Welder","Bosch","FAC05","Factory 5","LINE021","Assembly Line 21","35.1","78.5","8.25","30.9",4100,"14.22","Running","51.05","Yes","78.36",0,24,22,5256,"E003","Error condition E003","24-06-2024","01-03-2024"
"LOG00000021","26-11-2024","16:10:52",2024,6,"MACH00022","Machine 22","MODEL-2996","Drill","Mitsubishi","FAC06","Factory 6","LINE022","Assembly Line 22","41.7","74.3","0.86","28.78",5983,"27.28","Idle","61.07","Yes","77.31",20,19,13,738,"E004","Error condition E004","12-12-2024","15-08-2024"
"LOG00000022","11-12-2024","12:22:39",2024,2,"MACH00023","Machine 23","MODEL-6822","Lathe","Yaskawa","FAC07","Factory 7","LINE023","Assembly Line 23","52.4","61.9","1.52","38.63",2779,"5.41","Maintenance","87.49","No","99.91",14,24,6,6309,"E005","Error condition E005","06-11-2024","16-09-2024"
"LOG00000023","17-05-2024","23:25:55",2024,9,"MACH00024","Machine 24","MODEL-8478","Compressor","Omron","FAC08","Factory 8","LINE024","Assembly Line 24","74.8","42.2","0.84","37.74",677,"33.88","Error","91.36","No","89.66",6,19,20,3665,"None","No errors","26-08-2024","10-10-2024"
"LOG00000024","25-04-2024","23:39:24",2024,6,"MACH00025","Machine 25","MODEL-8194","CNC Machine","Siemens","FAC01","Factory 1","LINE025","Assembly Line 25","48","31.3","8.44","45.49",7361,"47.66","Stopped","65.24","Yes","75.92",5,22,13,3990,"E001","Error condition E001","04-04-2024","18-12-2024"
"LOG00000025","05-11-2024","11:51:33",2024,5,"MACH00026","Machine 26","MODEL-4660","Hydraulic Press","ABB","FAC02","Factory 2","LINE026","Assembly Line 26","71.1","39.7","1.29","23.26",8882,"20.72","Running","94.07","No","86.06",7,22,1,302,"E002","Error condition E002","03-04-2024","26-06-2024"
"LOG00000026","12-05-2024","23:44:50",2024,8,"MACH00027","Machine 27","MODEL-3357","Conveyor","Fanuc","FAC03","Factory 3","LINE027","Assembly Line 27","77.4","33.6","8.78","3.83",6540,"17.84","Idle","65.59","Yes","95.61",7,16,11,2454,"E003","Error condition E003","23-05-2024","17-05-2024"
"LOG00000027","16-05-2024","07:38:57",2024,12,"MACH00028","Machine 28","MODEL-1519","Robot Arm","KUKA","FAC04","Factory 4","LINE028","Assembly Line 28","40.9","41.5","0.9","25.22",8014,"18.13","Maintenance","76.7","No","86.61",1,22,20,4479,"E004","Error condition E004","18-06-2024","28-05-2024"
"LOG00000028","17-07-2024","13:48:52",2024,7,"MACH00029","Machine 29","MODEL-2972","Welder","Bosch","FAC05","Factory 5","LINE029","Assembly Line 29","21.9","68.8","6.69","4.67",9284,"6.71","Error","57.46","Yes","80.23",20,23,10,3744,"E005","Error condition E005","20-02-2024","03-06-2024"
"LOG00000029","11-04-2024","10:06:30",2024,8,"MACH00030","Machine 30","MODEL-7451","Drill","Mitsubishi","FAC06","Factory 6","LINE030","Assembly Line 30","43.3","43.8","1.3","39.03",4600,"25.76","Stopped","93.78","No","96.58",17,24,16,7152,"None","No errors","26-11-2024","16-03-2024"
"LOG00000030","15-05-2024","07:03:55",2024,4,"MACH00031","Machine 31","MODEL-4703","Lathe","Yaskawa","FAC07","Factory 7","LINE001","Assembly Line 1","74.3","65.2","7.17","47.88",4908,"44.01","Running","65.87","Yes","75.25",13,15,20,5977,"E001","Error condition E001","19-01-2024","14-06-2024"
"LOG00000031","23-05-2024","08:37:53",2024,3,"MACH00032","Machine 32","MODEL-3529","Compressor","Omron","FAC08","Factory 8","LINE002","Assembly Line 2","43.9","41.1","5.36","35.12",5314,"48.11","Idle","72.38","No","70.93",8,7,18,4482,"E002","Error condition E002","11-12-2024","01-03-2024"
"LOG00000032","04-08-2024","10:45:23",2024,2,"MACH00033","Machine 33","MODEL-7280","CNC Machine","Siemens","FAC01","Factory 1","LINE003","Assembly Line 3","54.9","70.5","9.26","11.66",4286,"46.39","Maintenance","92.39","No","70.91",14,15,4,8389,"E003","Error condition E003","09-07-2024","20-10-2024"
"LOG00000033","08-09-2024","22:08:53",2024,5,"MACH00034","Machine 34","MODEL-7036","Hydraulic Press","ABB","FAC02","Factory 2","LINE004","Assembly Line 4","66.2","45.5","3.96","39.63",3736,"12.16","Error","68.16","Yes","68.38",17,14,20,8820,"E004","Error condition E004","20-04-2024","13-05-2024"
"LOG00000034","22-06-2024","07:17:35",2024,8,"MACH00035","Machine 35","MODEL-6319","Conveyor","Fanuc","FAC03","Factory 3","LINE005","Assembly Line 5","28.9","35.6","9.95","24.61",3388,"0.96","Stopped","96.3","No","90.42",19,21,6,4587,"E005","Error condition E005","25-12-2024","19-05-2024"
"LOG00000035","21-08-2024","19:09:59",2024,3,"MACH00036","Machine 36","MODEL-4289","Robot Arm","KUKA","FAC04","Factory 4","LINE006","Assembly Line 6","47.4","63.1","3.94","20.36",2637,"28.02","Running","74.78","No","64.64",23,12,14,4375,"None","No errors","16-02-2024","10-06-2024"
"LOG00000036","22-11-2024","23:31:32",2024,2,"MACH00037","Machine 37","MODEL-5463","Welder","Bosch","FAC05","Factory 5","LINE007","Assembly Line 7","34.9","34.3","2.76","44.79",249,"37.53","Idle","73.54","No","95.96",18,8,4,5480,"E001","Error condition E001","03-08-2024","05-02-2024"
"LOG00000037","11-11-2024","13:35:34",2024,12,"MACH00038","Machine 38","MODEL-3810","Drill","Mitsubishi","FAC06","Factory 6","LINE008","Assembly Line 8","77.4","39.3","8.52","43.01",8232,"37.4","Maintenance","54.71","Yes","92.02",8,15,3,7785,"E002","Error condition E002","06-08-2024","15-05-2024"
"LOG00000038","12-07-2024","20:59:56",2024,5,"MACH00039","Machine 39","MODEL-9661","Lathe","Yaskawa","FAC07","Factory 7","LINE009","Assembly Line 9","33.4","65.3","3.91","46.25",2418,"19.01","Error","69.29","Yes","85.79",24,6,6,1089,"E003","Error condition E003","07-10-2024","15-09-2024"
"LOG00000039","01-07-2024","12:57:26",2024,8,"MACH00040","Machine 40","MODEL-6692","Compressor","Omron","FAC08","Factory 8","LINE010","Assembly Line 10","51.4","35.4","1.3","33.11",5745,"30.12","Stopped","96.49","No","86.66",11,12,20,7067,"E004","Error condition E004","21-07-2024","27-08-2024"
"LOG00000040","01-04-2024","21:09:50",2024,9,"MACH00041","Machine 41","MODEL-8087","CNC Machine","Siemens","FAC01","Factory 1","LINE011","Assembly Line 11","46.4","46.6","2.25","9.37",5918,"45.2","Running","66.36","Yes","98.93",2,3,7,6173,"E005","Error condition E005","19-10-2024","25-12-2024"
"LOG00000041","07-09-2024","11:52:03",2024,6,"MACH00042","Machine 42","MODEL-4589","Hydraulic Press","ABB","FAC02","Factory 2","LINE012","Assembly Line 12","53.1","53.9","8.87","34.2",8344,"45.99","Idle","78.51","No","72.89",19,15,24,427,"None","No errors","26-11-2024","22-11-2024"
"LOG00000042","06-07-2024","21:44:44",2024,9,"MACH00043","Machine 43","MODEL-4717","Conveyor","Fanuc","FAC03","Factory 3","LINE013","Assembly Line 13","75.8","62.6","1.59","21.48",7574,"6.87","Maintenance","50.99","Yes","81.27",5,0,12,5490,"E001","Error condition E001","17-06-2024","22-05-2024"
"LOG00000043","08-05-2024","05:27:01",2024,9,"MACH00044","Machine 44","MODEL-6951","Robot Arm","KUKA","FAC04","Factory 4","LINE014","Assembly Line 14","73.9","32.7","8.1","25.5",489,"29.84","Error","97.72","No","81.65",19,1,10,4666,"E002","Error condition E002","09-12-2024","23-06-2024"
"LOG00000044","27-03-2024","23:37:57",2024,10,"MACH00045","Machine 45","MODEL-7537","Welder","Bosch","FAC05","Factory 5","LINE015","Assembly Line 15","46.4","43.3","1.65","21.45",2574,"36.55","Stopped","78.83","No","85.96",14,13,13,5244,"E003","Error condition E003","21-10-2024","20-09-2024"
"LOG00000045","05-11-2024","01:39:48",2024,12,"MACH00046","Machine 46","MODEL-3792","Drill","Mitsubishi","FAC06","Factory 6","LINE016","Assembly Line 16","50.5","53.8","1.54","7.51",9278,"44.63","Running","72.26","No","88.01",23,17,2,6054,"E004","Error condition E004","05-10-2024","17-02-2024"
"LOG00000046","06-11-2024","03:24:38",2024,11,"MACH00047","Machine 47","MODEL-7099","Lathe","Yaskawa","FAC07","Factory 7","LINE017","Assembly Line 17","40","53","4.27","38.53",1006,"7.33","Idle","92.04","No","93.23",7,15,0,8731,"E005","Error condition E005","01-04-2024","10-08-2024"
"LOG00000047","23-11-2024","13:06:49",2024,9,"MACH00048","Machine 48","MODEL-3219","Compressor","Omron","FAC08","Factory 8","LINE018","Assembly Line 18","63.1","30.2","1.47","39.54",5901,"47.29","Maintenance","61.05","Yes","74.87",8,1,8,1173,"None","No errors","10-03-2024","08-05-2024"
"LOG00000048","01-06-2024","04:41:40",2024,1,"MACH00049","Machine 49","MODEL-7622","CNC Machine","Siemens","FAC01","Factory 1","LINE019","Assembly Line 19","79.4","79.4","5.68","40.13",9417,"16.82","Error","70.09","No","72.74",20,6,20,923,"E001","Error condition E001","04-08-2024","03-12-2024"
"LOG00000049","20-09-2024","08:58:03",2024,7,"MACH00050","Machine 50","MODEL-2867","Hydraulic Press","ABB","FAC02","Factory 2","LINE020","Assembly Line 20","41.3","39.4","3.35","0.83",6467,"5.91","Stopped","54.15","Yes","97.6",17,5,19,2385,"E002","Error condition E002","12-11-2024","21-10-2024"
"LOG00000050","20-07-2024","17:22:30",2024,7,"MACH00051","Machine 51","MODEL-9342","Conveyor","Fanuc","FAC03","Factory 3","LINE021","Assembly Line 21","60.9","61.8","5.01","44.87",2294,"25.04","Running","56.09","Yes","65.98",11,11,24,2515,"E003","Error condition E003","04-05-2024","26-09-2024"
"LOG00000051","07-08-2024","13:33:20",2024,2,"MACH00052","Machine 52","MODEL-1139","Robot Arm","KUKA","FAC04","Factory 4","LINE022","Assembly Line 22","76.6","68.4","3.32","41.63",5548,"37.8","Idle","70.08","No","68.09",11,2,4,7703,"E004","Error condition E004","01-06-2024","28-04-2024"
"LOG00000052","08-04-2024","22:10:05",2024,11,"MACH00053","Machine 53","MODEL-3962","Welder","Bosch","FAC05","Factory 5","LINE023","Assembly Line 23","45.7","43.2","7.84","20.18",6009,"14.32","Maintenance","83.85","No","79.46",21,23,10,1042,"E005","Error condition E005","11-07-2024","24-08-2024"
"LOG00000053","20-12-2024","12:43:12",2024,6,"MACH00054","Machine 54","MODEL-4700","Drill","Mitsubishi","FAC06","Factory 6","LINE024","Assembly Line 24","35.8","34.4","4.48","3.73",8330,"7.94","Error","88.86","No","91.73",19,22,6,6202,"None","No errors","26-02-2024","19-02-2024"
"LOG00000054","21-06-2024","05:53:37",2024,5,"MACH00055","Machine 55","MODEL-9071","Lathe","Yaskawa","FAC07","Factory 7","LINE025","Assembly Line 25","30.4","34.9","6.95","5.13",1740,"32.43","Stopped","80.43","No","61.75",17,23,6,7361,"E001","Error condition E001","02-07-2024","14-10-2024"
"LOG00000055","07-11-2024","03:44:15",2024,10,"MACH00056","Machine 56","MODEL-1844","Compressor","Omron","FAC08","Factory 8","LINE026","Assembly Line 26","35.5","62.2","0.69","26",437,"18.07","Running","99.58","No","94.9",12,7,9,6718,"E002","Error condition E002","20-04-2024","06-01-2024"
"LOG00000056","16-01-2024","17:22:35",2024,6,"MACH00057","Machine 57","MODEL-5398","CNC Machine","Siemens","FAC01","Factory 1","LINE027","Assembly Line 27","42.5","77.5","8.49","14.37",5471,"1.66","Idle","85.91","No","97.12",1,14,8,3278,"E003","Error condition E003","12-01-2024","12-09-2024"
"LOG00000057","25-05-2024","05:07:51",2024,5,"MACH00058","Machine 58","MODEL-1007","Hydraulic Press","ABB","FAC02","Factory 2","LINE028","Assembly Line 28","20.3","41.6","6.74","5.93",2585,"35.28","Maintenance","60.67","Yes","62.26",9,23,16,4898,"E004","Error condition E004","01-09-2024","09-12-2024"
"LOG00000058","17-06-2024","22:48:24",2024,1,"MACH00059","Machine 59","MODEL-6073","Conveyor","Fanuc","FAC03","Factory 3","LINE029","Assembly Line 29","29.5","33.3","7.08","31.81",1960,"16.81","Error","81.22","No","92.87",7,19,4,2082,"E005","Error condition E005","06-11-2024","26-08-2024"
"LOG00000059","15-02-2024","11:40:45",2024,5,"MACH00060","Machine 60","MODEL-5611","Robot Arm","KUKA","FAC04","Factory 4","LINE030","Assembly Line 30","62.8","43.5","3.9","48.4",7803,"40.09","Stopped","86.4","No","73.68",7,12,4,5373,"None","No errors","23-01-2024","10-01-2024"
"LOG00000060","13-01-2024","03:08:01",2024,7,"MACH00061","Machine 61","MODEL-9960","Welder","Bosch","FAC05","Factory 5","LINE001","Assembly Line 1","64.7","71.8","6.43","37.14",1243,"27.23","Running","67.03","Yes","97.22",19,0,22,1664,"E001","Error condition E001","27-06-2024","18-01-2024"
"LOG00000061","01-12-2024","09:33:01",2024,6,"MACH00062","Machine 62","MODEL-7032","Drill","Mitsubishi","FAC06","Factory 6","LINE002","Assembly Line 2","25.6","58","1.81","48.23",3831,"13.54","Idle","50.1","Yes","84.82",22,4,11,7212,"E002","Error condition E002","27-11-2024","23-12-2024"
"LOG00000062","05-05-2024","15:06:07",2024,6,"MACH00063","Machine 63","MODEL-2102","Lathe","Yaskawa","FAC07","Factory 7","LINE003","Assembly Line 3","48.2","35.4","6.32","7.75",4741,"18.43","Maintenance","94.58","No","73.42",3,14,13,9863,"E003","Error condition E003","03-08-2024","21-02-2024"
"LOG00000063","04-02-2024","19:18:01",2024,6,"MACH00064","Machine 64","MODEL-6030","Compressor","Omron","FAC08","Factory 8","LINE004","Assembly Line 4","45.3","67.4","9.28","9.58",1750,"44.89","Error","53.65","Yes","64.84",24,18,22,3642,"E004","Error condition E004","05-03-2024","12-08-2024"
"LOG00000064","28-07-2024","16:03:22",2024,1,"MACH00065","Machine 65","MODEL-5784","CNC Machine","Siemens","FAC01","Factory 1","LINE005","Assembly Line 5","68.7","67.4","8.36","46.92",776,"20.23","Stopped","71.3","No","61.22",14,22,5,6042,"E005","Error condition E005","02-12-2024","25-09-2024"
"LOG00000065","21-03-2024","06:31:36",2024,12,"MACH00066","Machine 66","MODEL-4877","Hydraulic Press","ABB","FAC02","Factory 2","LINE006","Assembly Line 6","33.6","68","2.65","3.07",5592,"5.41","Running","66.47","Yes","86.49",8,24,8,5134,"None","No errors","01-09-2024","08-05-2024"
"LOG00000066","28-07-2024","15:23:59",2024,2,"MACH00067","Machine 67","MODEL-9422","Conveyor","Fanuc","FAC03","Factory 3","LINE007","Assembly Line 7","66.1","36.7","1.93","47.49",7525,"22.8","Idle","94.56","No","88.1",20,24,20,4212,"E001","Error condition E001","14-05-2024","12-01-2024"
"LOG00000067","19-09-2024","02:01:39",2024,3,"MACH00068","Machine 68","MODEL-4379","Robot Arm","KUKA","FAC04","Factory 4","LINE008","Assembly Line 8","64.6","62.8","7.32","49.79",6686,"13.02","Maintenance","66.48","Yes","70.84",2,5,12,8038,"E002","Error condition E002","14-11-2024","22-02-2024"
"LOG00000068","27-04-2024","01:32:58",2024,5,"MACH00069","Machine 69","MODEL-7330","Welder","Bosch","FAC05","Factory 5","LINE009","Assembly Line 9","35.3","33.2","3.08","34.35",3360,"8.11","Error","51.46","Yes","62.7",24,11,3,5457,"E003","Error condition E003","20-12-2024","10-08-2024"
"LOG00000069","07-04-2024","12:38:21",2024,4,"MACH00070","Machine 70","MODEL-3900","Drill","Mitsubishi","FAC06","Factory 6","LINE010","Assembly Line 10","67.9","69.1","6.54","17.35",9837,"49.11","Stopped","62.15","Yes","77.01",5,22,7,3416,"E004","Error condition E004","03-07-2024","22-05-2024"
"LOG00000070","06-08-2024","12:21:06",2024,10,"MACH00071","Machine 71","MODEL-2778","Lathe","Yaskawa","FAC07","Factory 7","LINE011","Assembly Line 11","74","41.2","7.96","16.57",9370,"19.36","Running","88.69","No","92.06",4,21,8,4808,"E005","Error condition E005","08-07-2024","21-07-2024"
"LOG00000071","12-10-2024","02:42:53",2024,12,"MACH00072","Machine 72","MODEL-2405","Compressor","Omron","FAC08","Factory 8","LINE012","Assembly Line 12","46.3","47.7","1.77","11.33",3541,"5.83","Idle","68.07","Yes","74.06",18,17,6,9882,"None","No errors","03-10-2024","16-01-2024"
"LOG00000072","18-12-2024","02:08:43",2024,10,"MACH00073","Machine 73","MODEL-8005","CNC Machine","Siemens","FAC01","Factory 1","LINE013","Assembly Line 13","23.4","54.4","8.16","19.09",4731,"6.8","Maintenance","57.78","Yes","60.9",2,5,13,8494,"E001","Error condition E001","24-11-2024","20-01-2024"
"LOG00000073","20-12-2024","20:08:17",2024,3,"MACH00074","Machine 74","MODEL-4266","Hydraulic Press","ABB","FAC02","Factory 2","LINE014","Assembly Line 14","47.7","64.4","6.32","4.1",4876,"48.92","Error","56.92","Yes","89.05",3,22,14,9519,"E002","Error condition E002","24-06-2024","19-02-2024"
"LOG00000074","02-07-2024","08:24:58",2024,8,"MACH00075","Machine 75","MODEL-8247","Conveyor","Fanuc","FAC03","Factory 3","LINE015","Assembly Line 15","22.8","36.7","5.69","20.91",5625,"40.85","Stopped","78.9","No","73.23",21,1,23,617,"E003","Error condition E003","17-10-2024","05-07-2024"
"LOG00000075","15-10-2024","02:40:43",2024,2,"MACH00076","Machine 76","MODEL-7542","Robot Arm","KUKA","FAC04","Factory 4","LINE016","Assembly Line 16","27.6","65.7","8.84","17.89",6452,"44.91","Running","86.46","No","72.67",9,13,12,1590,"E004","Error condition E004","09-05-2024","19-01-2024"
"LOG00000076","18-07-2024","00:12:32",2024,11,"MACH00077","Machine 77","MODEL-8832","Welder","Bosch","FAC05","Factory 5","LINE017","Assembly Line 17","36.4","39.6","1.78","25.01",4957,"30.77","Idle","68.72","Yes","80.07",9,17,1,260,"E005","Error condition E005","19-07-2024","23-12-2024"
"LOG00000077","15-07-2024","19:15:20",2024,11,"MACH00078","Machine 78","MODEL-9799","Drill","Mitsubishi","FAC06","Factory 6","LINE018","Assembly Line 18","61.5","47.8","8.3","38.17",8889,"3.48","Maintenance","99.93","No","66.8",4,11,11,6061,"None","No errors","23-06-2024","15-06-2024"
"LOG00000078","02-02-2024","16:55:07",2024,12,"MACH00079","Machine 79","MODEL-5581","Lathe","Yaskawa","FAC07","Factory 7","LINE019","Assembly Line 19","62.1","49.9","8.6","37.41",6891,"33.88","Error","98.26","No","86",18,22,20,3450,"E001","Error condition E001","24-05-2024","17-07-2024"
"LOG00000079","01-11-2024","22:05:50",2024,7,"MACH00080","Machine 80","MODEL-8703","Compressor","Omron","FAC08","Factory 8","LINE020","Assembly Line 20","35.6","70.1","4.97","39.03",8501,"35.96","Stopped","90.64","No","78.88",5,3,2,8097,"E002","Error condition E002","21-11-2024","18-12-2024"
"LOG00000080","20-12-2024","03:33:38",2024,11,"MACH00081","Machine 81","MODEL-5749","CNC Machine","Siemens","FAC01","Factory 1","LINE021","Assembly Line 21","39.8","58.9","8.73","29.27",5355,"42.76","Running","60.67","Yes","87.1",8,9,1,6767,"E003","Error condition E003","02-07-2024","12-07-2024"
"LOG00000081","16-02-2024","12:25:26",2024,5,"MACH00082","Machine 82","MODEL-4834","Hydraulic Press","ABB","FAC02","Factory 2","LINE022","Assembly Line 22","61","34.7","9.77","17.91",8109,"16.66","Idle","77.7","No","97.47",3,20,17,5081,"E004","Error condition E004","09-03-2024","15-08-2024"
"LOG00000082","10-04-2024","11:45:19",2024,7,"MACH00083","Machine 83","MODEL-1192","Conveyor","Fanuc","FAC03","Factory 3","LINE023","Assembly Line 23","53.4","33.4","9.67","25.56",305,"34.65","Maintenance","75.48","No","81.56",21,19,15,2331,"E005","Error condition E005","14-12-2024","13-01-2024"
"LOG00000083","05-02-2024","13:02:53",2024,6,"MACH00084","Machine 84","MODEL-9787","Robot Arm","KUKA","FAC04","Factory 4","LINE024","Assembly Line 24","72.6","78.5","2.31","49.41",1563,"1.47","Error","71.28","No","73.8",22,11,14,3290,"None","No errors","25-12-2024","05-12-2024"
"LOG00000084","25-07-2024","23:52:53",2024,10,"MACH00085","Machine 85","MODEL-6631","Welder","Bosch","FAC05","Factory 5","LINE025","Assembly Line 25","35.6","31.8","9.82","41.71",5478,"47.64","Stopped","89.15","No","86.27",20,20,22,4508,"E001","Error condition E001","26-03-2024","02-11-2024"
"LOG00000085","21-09-2024","03:30:28",2024,7,"MACH00086","Machine 86","MODEL-8251","Drill","Mitsubishi","FAC06","Factory 6","LINE026","Assembly Line 26","26.3","38.6","3.64","13.59",2842,"11.93","Running","54.37","Yes","79.08",12,4,12,2421,"E002","Error condition E002","13-09-2024","23-12-2024"
"LOG00000086","09-04-2024","13:50:15",2024,11,"MACH00087","Machine 87","MODEL-1981","Lathe","Yaskawa","FAC07","Factory 7","LINE027","Assembly Line 27","34.2","51","7.73","11.3",8998,"37.25","Idle","97.53","No","93.01",5,14,8,9776,"E003","Error condition E003","20-09-2024","07-06-2024"
"LOG00000087","07-06-2024","12:11:22",2024,9,"MACH00088","Machine 88","MODEL-8849","Compressor","Omron","FAC08","Factory 8","LINE028","Assembly Line 28","28.4","52.8","2.6","45.21",3959,"37.88","Maintenance","91.75","No","65.86",7,22,1,1865,"E004","Error condition E004","20-08-2024","11-07-2024"
